Date,Open,High,Low,Close,Adj Close,Volume
2007-11-15,111.680000,112.500000,110.809998,112.080002,67.798889,2405600
2007-11-16,113.000000,113.000000,110.040001,111.370003,67.369408,2274500
2007-11-19,110.449997,112.510002,110.449997,111.230003,67.284729,3037400
2007-11-20,111.300003,111.699997,108.260002,109.870003,66.462021,3031700
2007-11-21,109.180000,109.730003,108.279999,108.279999,65.500206,2295900
2007-11-23,108.779999,111.089996,108.169998,111.010002,67.151634,850800
2007-11-26,110.790001,112.040001,107.800003,108.169998,65.433701,1939400
2007-11-27,108.510002,109.800003,107.220001,108.239998,65.476006,2871300
2007-11-28,109.269997,111.559998,108.000000,111.230003,67.284729,2461700
2007-11-29,110.650002,112.930000,109.910004,112.000000,68.007294,2075700
2007-11-30,113.120003,113.500000,110.129997,110.669998,67.199699,2282900
2007-12-03,111.449997,111.930000,109.769997,109.779999,66.659286,2252500
2007-12-04,109.339996,110.709999,108.959999,109.120003,66.258545,2065200
2007-12-05,109.910004,111.250000,108.809998,109.139999,66.270676,1886000
2007-12-06,109.099998,110.519997,107.779999,110.370003,67.017532,2072300
2007-12-07,110.349998,111.360001,109.750000,111.010002,67.406143,1457000
2007-12-10,111.540001,111.540001,109.820000,110.720001,67.230080,1250200
2007-12-11,110.790001,111.500000,107.529999,107.760002,65.432732,1833500
2007-12-12,108.010002,109.699997,107.320000,108.309998,65.766693,3086500
2007-12-13,107.739998,109.779999,107.739998,109.290001,66.361748,1717300
2007-12-14,108.500000,111.129997,108.300003,110.480003,67.084328,1957600
2007-12-17,109.779999,110.739998,108.779999,108.910004,66.131035,2100100
2007-12-18,109.480003,110.209999,107.500000,108.180000,65.687759,2604000
2007-12-19,108.940002,108.940002,107.029999,108.250000,65.730278,2375900
2007-12-20,108.820000,108.820000,106.330002,107.720001,65.408432,1835200
2007-12-21,108.760002,110.529999,108.360001,110.480003,67.084328,2314700
2007-12-24,110.010002,111.680000,110.010002,111.279999,67.570099,456800
2007-12-26,111.000000,111.459999,108.900002,109.529999,66.507500,981900
2007-12-27,109.300003,109.430000,107.540001,107.720001,65.408432,1208500
2007-12-28,107.559998,108.839996,106.349998,106.779999,64.837669,1488800
2007-12-31,106.309998,107.250000,105.260002,105.260002,63.914719,1329500
2008-01-02,105.769997,107.199997,104.940002,105.349998,63.969345,2753000
2008-01-03,105.489998,108.809998,104.709999,107.930000,65.535973,2435800
2008-01-04,107.230003,107.370003,105.629997,106.500000,64.667633,2319100
2008-01-07,107.360001,107.940002,104.930000,106.260002,64.521912,2749500
2008-01-08,106.260002,108.209999,106.169998,106.300003,64.546234,3160500
2008-01-09,106.879997,108.769997,106.419998,108.529999,65.900284,2602400
2008-01-10,107.930000,109.879997,107.320000,108.540001,65.906349,2639600
2008-01-11,107.580002,110.250000,107.500000,109.459999,66.464996,3117000
2008-01-14,110.120003,110.120003,107.150002,108.089996,65.633095,2724500
